Baseline 100%T,,Baseline 100%T,,Ti(Salen)(OiPr)2,,Ti(Salen)(OiPr)2 + AgBArF,,Ti(Salen)(OiPr)2 + AgBArF repeat,,Ti(Salen)(OiPr)2 + AgBArF + BIPY,,AgBArF ref,,BIPY ref,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
716.987793,0.05575013161,716.987793,0.05575013161,716.987793,0.002114275005,716.987793,0.002010394353,716.987793,0.005881068297,716.987793,0.03173721954,716.987793,0.04738803953,716.987793,0.02221425064,
715.9852905,0.05594601482,715.9852905,0.05594601482,715.9852905,0.001945956144,715.9852905,0.001992008416,715.9852905,0.005566577893,715.9852905,0.03149575368,715.9852905,0.04717113078,715.9852905,0.0219627209,
714.9822998,0.05602136999,714.9822998,0.05602136999,714.9822998,0.002337804297,714.9822998,0.00211284426,714.9822998,0.004327751696,714.9822998,0.0315691866,714.9822998,0.04761282355,714.9822998,0.02233823203,
714.0148315,0.0565921627,714.0148315,0.0565921627,714.0148315,0.002050731564,714.0148315,0.001828675973,714.0148315,0.004011666868,714.0148315,0.03168094158,714.0148315,0.04725147411,714.0148315,0.02212056704,
713.0112915,0.05699000135,713.0112915,0.05699000135,713.0112915,0.002204755321,713.0112915,0.002005999442,713.0112915,0.003895446891,713.0112915,0.03191233799,713.0112915,0.04734135792,713.0112915,0.02252399549,
712.0073242,0.05774975196,712.0073242,0.05774975196,712.0073242,0.001823346945,712.0073242,0.001816198463,712.0073242,0.003723459784,712.0073242,0.03179330751,712.0073242,0.04753579199,712.0073242,0.02251467109,
711.0031128,0.0582552962,711.0031128,0.0582552962,711.0031128,0.001994921127,711.0031128,0.001801095903,711.0031128,0.004054306541,711.0031128,0.03190506622,711.0031128,0.04779030383,711.0031128,0.02293857746,
709.9985962,0.05898070335,709.9985962,0.05898070335,709.9985962,0.002202153439,709.9985962,0.001790282666,709.9985962,0.004166256636,709.9985962,0.0320584029,709.9985962,0.04795065522,709.9985962,0.02275034413,
708.9935913,0.05988105014,708.9935913,0.05988105014,708.9935913,0.00209929212,708.9935913,0.001875963761,708.9935913,0.004122168291,708.9935913,0.0320764333,708.9935913,0.04783018306,708.9935913,0.02265583538,
707.9883423,0.06057629734,707.9883423,0.06057629734,707.9883423,0.002252214123,707.9883423,0.001837748336,707.9883423,0.003686621785,707.9883423,0.03219043836,707.9883423,0.04830980673,707.9883423,0.02274306118,
706.9827271,0.06160771102,706.9827271,0.06160771102,706.9827271,0.002118801232,706.9827271,0.0018929668,706.9827271,0.003261526581,706.9827271,0.03221129254,706.9827271,0.04818570986,706.9827271,0.02267312631,
706.0127563,0.06235939264,706.0127563,0.06235939264,706.0127563,0.002071226714,706.0127563,0.001595327747,706.0127563,0.003162664361,706.0127563,0.0320119746,706.0127563,0.04825035855,706.0127563,0.02260129526,
705.0064697,0.06324836612,705.0064697,0.06324836612,705.0064697,0.002140860539,705.0064697,0.001977133797,705.0064697,0.003231090959,705.0064697,0.03218868002,705.0064697,0.04841012508,705.0064697,0.02271567471,
